ALS;Alsace
AQU;Aquitaine
AUV;Auvergne
BOU;Bourgogne
BRE;Bretagne
CEN;Centre
CHA;Champagne-Ardenne
COR;Corse
FRA;Franche-Comté
IDF;Île-de-France
LAN;Languedoc-Roussillon
LIM;Limousin
LOR;Lorraine
MID;Midi-Pyrénées
NOR;Nord-Pas-de-Calais
BAS;Basse-Normandie
HAU;Haute-Normandie
PAY;Pays de la Loire
PIC;Picardie
POI;Poitou-Charentes
PRO;Provence-Alpes-Côte d'Azur
RHO;Rhône-Alpes
ENT;France Entière
EUR;Europe
INT;International
