Y/X;< 10000;<30000;< 60000;60000->--
Responsabilité Civile;0;0;0;0
Incendie;6.2;11.75;23.33;0
Vol;6.97;9.23;14.08;0
Dégâts des eaux;8.86;12.99;21.53;0
Evénements climatiques;7.75;13.98;26.78;0
Dommages électriques;1.54;2.11;3.27;0
Bris de glaces;1.42;1.89;2.83;0
