99.26;;;;;90-95 Basic Female ALB;;;;;;;;;;;;;;;;;;;;;
Age/Dur;1;2;3;4;5;6;7;8;9;10;11;12 ;13 ;14 ;15 ;16 ;17 ;18 ;19 ;20 ;21 ;22 ;23 ;24 ;25 ;26 
28 ;0.17;0.20;0.25;0.30;0.35;0.42;0.51;0.61;0.72;0.78;0.78;0.78;0.83;0.96;1.08;1.20;1.33;1.47;1.63;1.82;2.02;2.24;2.50;2.81;3.17;3.72
29 ;0.17;0.21;0.27;0.33;0.39;0.45;0.53;0.62;0.72;0.77;0.76;0.79;0.87;1.05;1.19;1.33;1.47;1.63;1.82;2.02;2.24;2.50;2.81;3.17;3.56;4.15
30 ;0.17;0.22;0.29;0.36;0.42;0.48;0.55;0.63;0.70;0.73;0.75;0.82;0.95;1.17;1.32;1.47;1.63;1.81;2.02;2.24;2.50;2.81;3.17;3.56;3.97;4.61
31 ;0.18;0.24;0.31;0.38;0.45;0.50;0.56;0.62;0.66;0.71;0.77;0.88;1.06;1.31;1.47;1.63;1.81;2.01;2.24;2.49;2.80;3.16;3.56;3.97;4.41;5.11
32 ;0.20;0.26;0.33;0.41;0.47;0.52;0.59;0.60;0.67;0.74;0.82;0.98;1.19;1.45;1.62;1.81;2.01;2.24;2.49;2.80;3.15;3.54;3.97;4.41;4.90;5.64
33 ;0.20;0.27;0.35;0.44;0.51;0.56;0.59;0.64;0.71;0.82;0.97;1.14;1.35;1.62;1.81;2.01;2.23;2.49;2.79;3.14;3.52;3.93;4.41;4.90;5.42;6.22
34 ;0.21;0.28;0.37;0.46;0.54;0.59;0.63;0.70;0.82;0.96;1.14;1.34;1.59;1.80;2.01;2.23;2.49;2.79;3.10;3.48;3.89;4.35;4.90;5.42;5.98;6.81
35 ;0.21;0.29;0.38;0.48;0.56;0.62;0.69;0.80;0.96;1.13;1.33;1.57;1.74;2.00;2.23;2.48;2.78;3.10;3.45;3.85;4.30;4.80;5.36;5.98;6.58;7.40
36 ;0.20;0.29;0.39;0.49;0.58;0.68;0.79;0.93;1.12;1.32;1.55;1.71;1.97;2.22;2.47;2.78;3.08;3.41;3.81;4.28;4.76;5.31;5.91;6.58;7.16;8.05
37 ;0.20;0.29;0.39;0.50;0.62;0.76;0.91;1.07;1.29;1.54;1.70;1.96;2.19;2.44;2.74;3.07;3.39;3.77;4.24;4.75;5.28;5.85;6.49;7.12;7.78;8.73
38 ;0.22;0.32;0.42;0.54;0.68;0.84;1.00;1.17;1.41;1.66;1.94;2.16;2.41;2.70;3.00;3.37;3.72;4.22;4.73;5.25;5.79;6.39;7.10;7.75;8.40;9.44
39 ;0.24;0.35;0.46;0.60;0.77;0.94;1.10;1.29;1.53;1.79;2.08;2.33;2.63;2.95;3.25;3.69;4.15;4.72;5.22;5.73;6.32;7.01;7.73;8.36;9.05;10.28
40 ;0.26;0.39;0.53;0.69;0.86;1.03;1.22;1.41;1.66;1.93;2.22;2.52;2.87;3.21;3.51;4.04;4.63;5.19;5.68;6.26;6.94;7.63;8.32;8.97;9.81;11.32
41 ;0.29;0.45;0.62;0.79;0.96;1.15;1.35;1.55;1.80;2.08;2.39;2.74;3.11;3.47;3.80;4.49;5.13;5.62;6.22;6.87;7.55;8.27;8.92;9.76;10.79;12.52
42 ;0.33;0.53;0.71;0.89;1.09;1.28;1.50;1.71;1.96;2.25;2.59;2.96;3.37;3.76;4.19;4.98;5.56;6.16;6.79;7.44;8.23;8.88;9.71;10.75;11.95;13.70
43 ;0.37;0.60;0.81;1.02;1.24;1.45;1.68;1.90;2.18;2.52;2.88;3.29;3.75;4.18;4.60;5.48;6.09;6.72;7.32;8.11;8.79;9.66;10.70;11.93;13.11;14.89
44 ;0.41;0.67;0.92;1.17;1.41;1.64;1.88;2.13;2.44;2.79;3.19;3.66;4.18;4.59;5.08;6.01;6.65;7.28;8.03;8.74;9.57;10.65;11.91;13.06;14.17;16.18
45 ;0.45;0.75;1.05;1.33;1.60;1.85;2.12;2.42;2.71;3.08;3.53;4.08;4.57;5.07;5.59;6.52;7.17;7.95;8.69;9.52;10.60;11.88;12.97;14.03;15.32;17.64
46 ;0.50;0.85;1.19;1.51;1.82;2.11;2.40;2.70;3.00;3.40;3.92;4.52;5.03;5.57;6.13;7.08;7.87;8.65;9.47;10.55;11.86;12.89;13.95;15.17;16.58;19.36
47 ;0.56;0.95;1.35;1.72;2.07;2.39;2.68;2.97;3.32;3.76;4.32;5.00;5.51;6.08;6.75;7.78;8.60;9.42;10.50;11.82;12.82;13.80;15.01;16.48;18.05;21.46
48 ;0.61;1.06;1.50;1.89;2.25;2.57;2.90;3.23;3.63;4.09;4.70;5.43;6.06;6.71;7.44;8.52;9.37;10.45;11.78;12.76;13.66;14.85;16.31;17.87;19.92;23.87
49 ;0.67;1.18;1.68;2.08;2.43;2.76;3.14;3.52;3.95;4.45;5.10;5.85;6.69;7.40;8.17;9.32;10.39;11.74;12.66;13.58;14.68;16.14;17.68;19.73;22.20;26.23
50 ;0.73;1.32;1.89;2.28;2.61;2.95;3.39;3.82;4.30;4.84;5.48;6.29;7.25;8.15;8.99;10.34;11.68;12.56;13.50;14.52;15.80;17.49;19.53;22.08;24.71;28.29
51 ;0.81;1.48;2.11;2.49;2.79;3.16;3.64;4.13;4.66;5.19;5.88;6.77;7.83;8.97;10.05;11.62;12.49;13.36;14.33;15.55;17.14;19.34;21.97;24.59;26.99;30.38
52 ;0.89;1.65;2.34;2.71;2.99;3.37;3.91;4.46;4.99;5.57;6.30;7.25;8.45;9.93;11.33;12.41;13.21;14.18;15.14;16.79;19.13;21.85;24.46;26.86;28.94;33.06
53 ;0.99;1.77;2.47;2.87;3.18;3.58;4.13;4.67;5.26;5.88;6.62;7.63;9.00;10.64;11.98;13.05;14.01;14.95;16.58;18.92;21.63;24.33;26.72;28.89;31.28;36.55
54 ;1.09;1.89;2.61;3.03;3.38;3.79;4.30;4.90;5.54;6.18;6.95;8.10;9.65;11.29;12.44;13.69;14.61;16.21;18.51;21.30;24.08;26.59;28.73;31.24;34.27;40.72
55 ;1.20;2.03;2.74;3.18;3.57;3.97;4.49;5.12;5.80;6.50;7.37;8.65;10.24;11.77;12.90;14.27;15.84;18.12;20.86;23.83;26.32;28.58;31.03;34.22;37.96;45.55
56 ;1.32;2.16;2.87;3.32;3.73;4.15;4.66;5.33;6.08;6.92;7.91;9.19;10.67;12.24;13.43;15.47;17.71;20.63;23.59;26.06;28.42;30.79;34.08;37.76;42.13;51.12
57 ;1.44;2.30;3.00;3.45;3.91;4.35;4.87;5.60;6.49;7.70;8.90;10.04;11.16;12.85;14.40;17.30;20.20;23.33;25.93;28.28;30.57;33.91;37.67;41.92;47.00;56.98
58 ;1.47;2.45;3.26;3.86;4.34;4.83;5.48;6.42;7.49;8.66;9.77;11.05;12.25;14.28;16.22;19.75;23.08;25.67;28.14;30.47;33.73;37.46;41.72;46.85;51.57;63.12
59 ;1.49;2.58;3.56;4.31;4.81;5.36;6.23;7.40;8.56;9.64;10.92;11.62;13.57;16.07;18.78;22.68;25.40;28.00;30.33;33.56;37.30;41.63;46.71;51.42;56.25;69.93
60 ;1.49;2.71;3.87;4.80;5.35;6.00;7.13;8.43;9.61;10.78;11.60;13.01;15.22;18.30;21.62;25.14;27.85;30.23;33.36;37.15;41.46;46.61;51.26;56.13;63.40;78.07
61 ;1.47;2.85;4.21;5.32;5.95;6.77;8.07;9.44;10.71;11.58;12.94;15.15;17.28;20.74;24.39;27.70;30.07;33.16;37.01;41.38;46.52;51.20;56.01;63.24;70.05;87.73
62 ;1.45;2.98;4.54;5.72;6.64;7.51;8.89;10.45;11.56;12.85;14.96;17.12;19.54;23.05;26.95;29.92;33.02;36.89;41.29;46.42;51.09;55.89;63.09;69.63;79.51;98.16
63 ;1.62;3.12;4.72;6.18;6.84;7.62;9.01;10.67;12.58;14.87;16.95;19.33;21.82;25.27;29.27;32.89;36.74;41.16;46.28;50.98;55.80;62.93;69.22;78.68;89.72;109.16
64 ;1.81;3.29;4.91;6.33;6.90;7.70;9.12;10.96;13.35;16.40;19.17;21.29;23.95;27.89;32.30;36.63;41.07;46.18;50.88;55.66;62.59;68.81;77.84;88.78;100.50;119.86
65 ;2.04;3.50;5.06;6.34;6.93;7.78;9.28;11.35;14.31;18.01;21.27;23.38;26.46;31.26;36.07;40.95;46.08;50.77;55.52;62.26;68.39;77.02;87.84;99.51;111.83;129.34
66 ;2.31;3.68;5.09;6.31;7.00;7.97;9.51;11.84;15.24;19.40;23.20;25.85;29.69;35.44;40.32;45.99;50.66;55.38;61.92;68.02;76.21;87.07;98.47;111.19;122.01;138.88
67 ;2.60;3.83;5.16;6.35;7.53;8.88;9.97;12.40;16.00;20.53;25.32;28.83;33.53;40.05;45.23;50.55;55.24;61.59;67.65;75.79;86.44;97.42;110.10;120.82;130.68;151.70
68 ;2.92;4.29;5.77;7.16;8.25;9.84;11.93;14.24;17.54;21.92;26.73;30.83;36.40;43.96;49.71;55.03;61.25;67.23;75.36;85.97;96.90;109.00;120.19;130.08;140.51;169.29
69 ;3.28;4.82;6.51;8.17;9.70;11.71;13.93;16.11;19.34;23.77;28.52;32.94;39.71;48.15;54.06;60.28;66.82;74.54;85.38;96.37;108.48;119.56;129.41;140.43;156.55;191.66
70 ;3.52;5.28;7.24;9.26;11.12;13.40;15.68;18.50;21.17;25.58;29.93;34.66;42.40;51.56;58.14;65.36;72.63;83.47;95.22;106.72;118.65;127.69;138.14;153.76;174.87;218.55
71 ;3.99;6.04;8.35;10.63;12.71;15.25;17.93;21.11;24.08;28.16;32.01;37.02;45.60;55.86;63.24;71.80;82.52;94.08;106.15;117.97;127.03;137.42;153.40;174.39;201.15;245.35
72 ;4.56;7.00;9.60;11.96;14.23;17.40;20.85;23.76;27.39;31.20;34.14;38.98;49.02;60.54;69.82;81.60;93.05;105.57;117.34;126.36;136.94;153.23;172.90;200.24;228.28;258.84
73 ;5.51;7.32;10.83;13.04;15.59;18.84;23.04;26.06;30.26;34.09;38.87;43.93;54.57;65.71;78.63;89.73;103.10;116.03;125.69;136.78;153.04;172.90;198.03;228.28;257.77;266.16
74 ;6.15;7.93;11.55;14.03;17.12;20.99;25.71;29.29;34.00;38.49;42.99;48.67;61.56;73.80;87.77;100.81;114.78;125.21;136.78;153.04;172.40;198.03;228.15;257.77;259.91;283.32
75 ;6.70;8.48;12.45;15.39;19.06;23.40;28.86;32.86;37.62;42.85;47.64;54.70;69.16;84.56;99.77;112.16;122.81;135.19;153.04;172.31;198.03;228.04;257.77;259.91;272.42;306.72
76 ;7.16;9.14;13.66;17.14;21.25;26.26;32.38;36.42;41.67;47.48;53.54;61.45;78.04;93.57;109.66;120.14;134.89;153.04;172.00;197.64;227.79;257.77;259.91;272.42;294.21;333.59
77 ;7.72;10.03;15.21;19.10;23.85;29.46;35.88;40.34;46.17;53.19;60.15;71.83;89.10;103.04;117.46;132.17;151.29;172.00;197.01;227.56;257.77;259.91;272.42;294.21;319.22;364.48
78 ;8.48;11.17;16.96;21.44;26.76;32.65;39.74;44.70;51.89;60.02;70.17;83.24;99.54;114.78;129.29;147.94;170.03;197.01;227.33;257.77;259.91;272.42;294.21;319.22;347.95;400.06
79 ;9.44;12.45;19.03;24.05;29.65;36.16;44.04;50.24;58.30;70.09;82.55;97.17;113.58;126.41;144.75;166.27;195.89;226.58;257.77;259.91;272.42;294.21;319.22;347.95;381.01;441.11
80 ;10.52;13.97;21.35;26.66;32.84;40.07;49.49;57.46;68.10;82.17;94.67;103.41;123.53;141.56;164.66;193.75;225.88;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;488.59
81 ;11.80;15.68;23.66;29.52;38.82;47.76;55.51;67.17;80.14;93.55;101.41;114.32;138.37;160.89;189.46;223.52;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;544.90
82 ;13.24;17.37;26.21;34.11;45.20;53.65;65.00;77.85;89.55;100.20;113.60;131.80;156.34;187.22;223.48;257.77;259.91;272.42;294.21;319.22;347.95;381.01;419.11;463.11;514.06;613.17
