99.26;;;;;90-95 Basic Male ALB;;;;;;;;;;;;;;;;;;;;;
Age/Dur;1;2;3;4;5;6;7;8;9;10;11;12 ;13 ;14 ;15 ;16 ;17 ;18 ;19 ;20 ;21 ;22 ;23 ;24 ;25 ;26 
28 ;0.33;0.45;0.52;0.62;0.68;0.75;0.81;0.88;0.96;1.05;1.09;1.17;1.27;1.38;1.56;1.86;2.13;2.29;2.50;2.68;2.86;3.07;3.34;3.70;4.10;4.89
29 ;0.32;0.45;0.53;0.62;0.69;0.77;0.84;0.91;0.99;1.08;1.16;1.25;1.36;1.48;1.68;1.99;2.27;2.50;2.67;2.85;3.06;3.34;3.69;4.10;4.58;5.52
30 ;0.32;0.44;0.53;0.62;0.71;0.79;0.87;0.94;1.01;1.11;1.22;1.32;1.46;1.62;1.84;2.14;2.48;2.67;2.85;3.05;3.34;3.68;4.09;4.58;5.14;6.22
31 ;0.30;0.43;0.53;0.63;0.72;0.80;0.90;0.96;1.04;1.14;1.26;1.41;1.60;1.82;2.06;2.38;2.66;2.84;3.05;3.33;3.68;4.09;4.57;5.12;5.76;6.96
32 ;0.29;0.41;0.53;0.64;0.73;0.83;0.92;1.01;1.10;1.16;1.32;1.53;1.79;2.06;2.31;2.65;2.83;3.04;3.32;3.67;4.08;4.55;5.11;5.73;6.42;7.65
33 ;0.31;0.43;0.56;0.66;0.78;0.87;0.98;1.06;1.14;1.24;1.41;1.65;1.96;2.28;2.53;2.82;3.03;3.31;3.66;4.06;4.53;5.09;5.69;6.38;7.09;8.32
34 ;0.33;0.45;0.58;0.70;0.81;0.92;1.05;1.13;1.22;1.36;1.55;1.82;2.17;2.51;2.74;3.03;3.30;3.66;4.05;4.51;5.08;5.63;6.32;7.02;7.63;9.10
35 ;0.35;0.47;0.61;0.72;0.85;0.97;1.09;1.21;1.35;1.53;1.73;2.01;2.37;2.72;2.97;3.29;3.65;4.03;4.49;5.03;5.60;6.26;6.98;7.55;8.28;10.08
36 ;0.37;0.49;0.62;0.75;0.88;1.01;1.15;1.32;1.51;1.71;1.97;2.21;2.57;2.96;3.28;3.65;4.02;4.42;5.02;5.57;6.22;6.95;7.51;8.22;9.17;11.29
37 ;0.39;0.51;0.64;0.78;0.91;1.05;1.24;1.47;1.67;1.94;2.16;2.40;2.78;3.27;3.64;4.00;4.40;4.97;5.51;6.19;6.91;7.47;8.17;9.09;10.28;12.70
38 ;0.42;0.57;0.71;0.83;0.96;1.14;1.37;1.63;1.91;2.14;2.34;2.62;3.04;3.54;3.95;4.39;4.92;5.46;6.12;6.88;7.45;8.15;9.05;10.22;11.61;14.23
39 ;0.46;0.62;0.77;0.89;1.04;1.25;1.54;1.83;2.09;2.33;2.55;2.90;3.35;3.85;4.29;4.87;5.43;6.09;6.83;7.42;8.11;9.02;10.19;11.53;12.92;15.83
40 ;0.49;0.67;0.83;0.97;1.15;1.40;1.74;2.03;2.27;2.54;2.83;3.24;3.72;4.22;4.68;5.40;6.06;6.80;7.39;8.09;8.98;10.15;11.49;12.85;14.28;17.46
41 ;0.52;0.73;0.93;1.09;1.30;1.58;1.94;2.22;2.47;2.82;3.17;3.66;4.15;4.66;5.13;6.03;6.77;7.36;8.06;8.95;10.12;11.45;12.78;14.24;15.70;19.09
42 ;0.55;0.80;1.04;1.23;1.47;1.76;2.14;2.43;2.72;3.15;3.56;4.12;4.63;5.10;5.71;6.73;7.33;8.02;8.91;10.08;11.41;12.75;14.17;15.62;17.01;20.78
43 ;0.58;0.84;1.10;1.33;1.58;1.88;2.27;2.63;2.99;3.46;3.90;4.53;5.04;5.70;6.38;7.31;8.00;8.88;10.04;11.37;12.70;14.09;15.54;16.94;18.34;22.55
44 ;0.63;0.90;1.17;1.42;1.69;2.02;2.45;2.89;3.31;3.81;4.29;4.99;5.60;6.34;6.94;7.97;8.83;9.98;11.28;12.64;14.02;15.45;16.85;18.23;19.60;24.51
45 ;0.69;0.98;1.24;1.50;1.81;2.19;2.67;3.18;3.67;4.22;4.73;5.47;6.33;6.90;7.59;8.79;9.93;11.20;12.61;13.94;15.37;16.75;18.12;19.39;20.79;26.76
46 ;0.77;1.05;1.29;1.59;1.97;2.42;2.94;3.52;4.10;4.69;5.19;5.96;6.84;7.56;8.42;9.88;11.07;12.50;13.87;15.28;16.65;18.01;19.17;20.55;22.43;29.29
47 ;0.84;1.11;1.36;1.72;2.17;2.67;3.23;3.91;4.57;5.18;5.66;6.37;7.41;8.36;9.49;11.01;12.38;13.84;15.28;16.56;17.82;18.96;20.32;22.16;24.25;32.10
48 ;0.91;1.20;1.51;1.90;2.36;2.88;3.51;4.27;5.00;5.66;6.07;6.86;8.06;9.28;10.71;12.31;13.79;15.20;16.53;17.72;18.85;20.19;21.88;23.83;26.42;35.19
49 ;0.99;1.32;1.69;2.11;2.58;3.13;3.82;4.64;5.43;6.05;6.55;7.48;8.87;10.38;12.03;13.68;15.12;16.44;17.58;18.74;20.05;21.62;23.41;25.96;28.79;38.48
50 ;1.09;1.47;1.90;2.36;2.82;3.40;4.14;5.01;5.77;6.50;7.14;8.26;9.83;11.57;13.40;14.99;16.37;17.50;18.63;19.94;21.37;23.11;25.49;28.28;31.35;42.12
51 ;1.21;1.65;2.15;2.64;3.11;3.67;4.45;5.29;6.17;7.06;7.88;9.18;10.85;12.78;14.82;16.23;17.41;18.51;19.76;21.22;22.83;25.05;27.75;30.79;34.01;46.46
52 ;1.35;1.85;2.43;2.97;3.40;3.95;4.70;5.63;6.67;7.78;8.76;10.17;11.87;14.00;16.15;17.31;18.40;19.58;21.09;22.57;24.74;27.42;30.07;33.42;38.92;51.45
53 ;1.41;2.01;2.68;3.26;3.73;4.28;5.16;6.25;7.45;8.72;9.84;11.24;12.99;14.99;16.99;18.29;19.46;20.85;22.43;24.64;27.10;29.69;32.79;38.45;44.58;57.01
54 ;1.48;2.18;2.95;3.56;4.01;4.67;5.73;7.02;8.39;9.74;10.94;12.33;14.04;15.94;17.84;19.35;20.72;22.29;24.51;26.93;29.51;32.39;37.58;43.81;50.89;63.07
55 ;1.54;2.35;3.22;3.81;4.33;5.15;6.44;7.95;9.41;10.79;12.08;13.37;15.07;16.91;18.64;20.59;22.15;24.41;26.76;29.32;32.18;37.13;43.10;49.80;57.07;69.52
56 ;1.59;2.53;3.45;4.09;4.72;5.74;7.30;8.97;10.46;11.86;13.18;14.39;16.14;17.88;19.63;22.01;24.26;26.59;29.14;31.98;36.89;42.60;49.25;55.86;64.33;76.14
57 ;1.64;2.65;3.70;4.44;5.23;6.47;8.23;10.00;11.52;12.86;14.25;15.45;17.23;19.08;20.79;24.10;26.42;28.96;31.78;36.64;42.11;48.68;55.25;63.06;72.11;82.84
