Limit;
25000;0.74
60000;0.92
100000;1
125000;1.04
150000;1.07
200000;1.13
250000;1.18
300000;1.22
350000;1.26
400000;1.29
500000;1.33
600000;1.37
750000;1.42
1000000;1.47
1500000;1.56
2000000;1.64
2500000;1.69
3000000;1.74
5000000;1.86
7500000;1.93
10000000;1.97

