BRUSSEL;1000;BRUSSEL;;BRU
ANTWERPEN;2000;PROVINCE D'ANVERS;;VAN
GENT;9000;PROVINCE DE FLANDRE ORIENTALE;;VOV
CHARLEROI;6000;PROVINCE DE HAINAUT;;WHT
LIEGE;4000;LIEGE;;WLG
