WARSZAWA;00-950;MAZOWIECKIE;;MZ
KRAKOW;31-004;MALOPOLSKIE;;MA
WROCLAW;50-107;DOLNOSLASKIE;;DS
SZCZECIN;60-967;ZACHODNIOPOMORSKIE;;ZP
GDANSK;80-803;POMORSKIE;;PM
