FP08H,Ford,Fusion,SEL,0,1,221,B,4,0
HP08H,Ford,Fusion,SEL,0,1,221,B,4,0
FP08N,Ford,Fusion,SEL,0,1,221,B,4,0
HP08N,Ford,Fusion,SEL,0,1,221,B,4,0
FP08R,Ford,Fusion,SEL,0,1,221,B,4,0
HP08R,Ford,Fusion,SEL,0,1,221,B,4,0
FP08S,Ford,Fusion,SEL,0,1,221,B,4,0
HP08S,Ford,Fusion,SEL,0,1,221,B,4,0
FP08T,Ford,Fusion,SEL,0,1,221,B,4,0
HP08T,Ford,Fusion,SEL,0,1,221,B,4,0
FP08V,Ford,Fusion,SEL,0,1,221,B,4,0
HP08V,Ford,Fusion,SEL,0,1,221,B,4,0
FP08W,Ford,Fusion,SEL,0,1,221,B,4,0
HP08W,Ford,Fusion,SEL,0,1,221,B,4,0
FP08Z,Ford,Fusion,SEL,0,1,221,B,4,0
HP08Z,Ford,Fusion,SEL,0,1,221,B,4,0
FP241,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP241,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24H,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24H,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24N,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24N,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24R,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24R,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24S,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24S,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24T,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24T,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24V,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24V,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24Z,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24Z,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP24W,Ford,Taurus,SE L FWD,0,1,221,B,4,0
HP24W,Ford,Taurus,SE L FWD,0,1,221,B,4,0
FP251,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP251,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25H,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25H,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25N,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25N,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25R,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25R,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25S,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25S,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25T,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25T,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25V,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25V,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25Z,Ford,Taurus,Limited FWD,0,1,221,B,4,0
HP25Z,Ford,Taurus,Limited FWD,0,1,221,B,4,0
FP25W,Ford,Taurus,Limited FWD,0,1,221,B,4,0
