YA13003,Yamaha,XV ROAD STAR WARRIOR ,XV ROAD STAR WARRIOR ,,ES,15,12,1700,,VP14E ,9,H
YA13002,Yamaha,XV WILD STAR ,XV WILD STAR ,,ES,14,12,1600,,VP081 ,8,G
YA13001,Yamaha,XV WILD STAR ,XV WILD STAR ,,ES,14,12,1600,,VP081 ,8,F
YA12022,Yamaha,FJR AS ABS LIMITED EDITION ,FJR AS ABS LIMITED EDITION ,,ES,12,21,1300,,RP13F ,15,J
YA12021,Yamaha,FJR ABS LIMITED EDITION ,FJR ABS LIMITED EDITION ,,ES,12,21,1300,,RP13B ,15,J
YA12020,Yamaha,FJR AS ABS ,FJR AS ABS ,,ES,12,21,1300,,RP13F ,15,J
YA12019,Yamaha,XJR ,XJR ,,ES,12,14,1300,,RP191 ,13,E
YA12018,Yamaha,XV MIDNIGHT STAR ,XV MIDNIGHT STAR ,,ES,12,12,1300,,VP261 ,8,E
YA12017,Yamaha,FJR AS ABS ,FJR AS ABS ,,ES,12,21,1300,,LYM1AN405325,15,J
YA12016,Yamaha,FJR ABS ,FJR ABS ,,ES,12,21,1300,,RP13B ,15,J
YA12015,Yamaha,FJR ABS ,FJR ABS ,,ES,12,21,1300,,RP116 ,16,H
YA12014,Yamaha,FJR ,FJR ,,ES,12,21,1300,,RP112 ,16,G
YA12013,Yamaha,XJR ,XJR ,,ES,12,14,1300,,RP101 ,13,E
YA12012,Yamaha,FJR ABS ,FJR ABS ,,ES,12,21,1300,,RP086 ,16,H
YA12011,Yamaha,FJR ,FJR ,,ES,12,21,1300,,RP082 ,16,H
YA12010,Yamaha,FJR ,FJR ,,ES,12,21,1300,,RP042 ,16,G
YA12009,Yamaha,FJR ABS ,FJR ABS ,,ES,12,21,1300,,RP086 ,16,H
YA12008,Yamaha,XJR ,XJR ,,ES,12,14,1300,,RP061 ,13,E
YA12007,Yamaha,FJR ,FJR ,,ES,12,21,1300,,RP042 ,16,G
YA12006,Yamaha,XJR SP ,XJR SP ,,ES,12,14,1300,,RP021 ,13,E
PG04006,Piaggio,BEVERLY CRUISER ,BEVERLY CRUISER ,,ES,5,2,500,,LGG95K40E534 ,8,C
PG04005,Piaggio,X9 STREET ,X9 STREET ,,ES,5,2,500,,-,8,B
PG04004,Piaggio,X9 EVOLUTION ABS ,X9 EVOLUTION ABS ,,ES,5,2,500,,ZAPM27105 ,8,C
PG04003,Piaggio,X9 EVOLUTION ,X9 EVOLUTION ,,ES,5,2,500,,ZAPM27103 ,8,C
PG01067,Piaggio,MP3 TOURING ,MP3 TOURING ,,ES,1,2,125,,,4,C
PG01066,Piaggio,TYPHOON ,TYPHOON ,,ES,1,2,125,,,4,Z
PG01065,Piaggio,VESPA PX ,VESPA PX ,,ES,1,2,125,,,4,A
PG01064,Piaggio,MP3 YOURBAN RL ,MP3 YOURBAN RL ,,ES,1,2,125,,,4,B
PG01063,Piaggio,XEVO ,XEVO ,,ES,1,2,125,,,4,A
PG01062,Piaggio,GTS SUPER SPORT IE ,GTS SUPER SPORT IE ,,ES,1,2,125,,,4,B
PG01061,Piaggio,VESPA S IE SPORT ,VESPA S IE SPORT ,,ES,1,2,125,,,4,A
PG01060,Piaggio,BEVERLY ,BEVERLY ,,ES,1,2,125,,,4,A
PG01059,Piaggio,VESPA LX IE ROSA CHIC ,VESPA LX IE ROSA CHIC ,,ES,1,2,125,,,4,A
PG01058,Piaggio,VESPA LX IE TOURING ,VESPA LX IE TOURING ,,ES,1,2,125,,,4,A
PG01057,Piaggio,VESPA LX IE ,VESPA LX IE ,,ES,1,2,125,,,4,A
PG01056,Piaggio,GTS SUPER IE ,GTS SUPER IE ,,ES,1,2,125,,,4,A
PG01055,Piaggio,VESPA S IE COLLEGE ,VESPA S IE COLLEGE ,,ES,1,2,125,,,4,A
PG01054,Piaggio,MP3 RL ,MP3 RL ,,ES,1,2,125,,,4,B
PG01053,Piaggio,VESPA S IE ,VESPA S IE ,,ES,1,2,125,,,4,A
PG01052,Piaggio,VESPA LXV ,VESPA LXV ,,ES,1,2,125,,,4,A
